Email,Empresa,Website,Industria,Tipo,Descripción,Estado,País,Fuente,Fecha
info@santodomingoschool.com,Actualidad Educativa,https://actualidadeducativa.com/nivel/guarderia/,educación,otro,Plataforma digital que funciona como directorio y medio de comunicación para el sector educativo en ,NEW,CR,serper_search,2026-03-23 02:09
admisiones@usanjudas.ac.cr,Universidad San Judas,https://usanjudas.ac.cr/bachillerato-en-educacion-preescolar/,educación,otro,"Institución de educación superior que ofrece programas académicos en bachillerato, licenciatura y ma",NEW,CR,serper_search,2026-03-23 02:09
kindergarabatos@gmail..com,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
informacion@jjjjjjjj.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
admisione22s@colegiosadec.org,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
sss@outlook.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
info@shshshshs.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
info@sisteeeemaeducativoanegulo.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
info@homdetwo.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
sjes3cr@gmail.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
st.giannakids@gmail.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
administracion@metodista.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
info@saintbe11nect.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
educagustin@escuedddlabilinguesanagustin.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
info@a1es-cr.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
comunicacion@kiddosmontessori.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
recepcion@arandu.co.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
lighthouse@lis.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
admisiones@mountviewcr.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
info@saintanthony.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
info@westcollege.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
direccionlumapreschool@gmail.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
info@s88888.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
info@saintmichaelcr.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
grupoeducativosh@gmail.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
info@lasamericas.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
info@saintgregory.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
info@nuevoshorizontes.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
info@saintgabriel.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
info@pana22m.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
admisiones@sekcostarica.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
integral.educacion@gmail.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
comunicaciones@colegiocalasanz.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
info@saintmichael.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
sassssssssool@hotmail.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
admisiones@saintmary.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
cecoe@iglesiaoasis.com,Actualidad Educativa,https://actualidadeducativa.com/provincias/san-jose/,educación,otro,Plataforma digital que funciona como directorio y portal de información educativa en Costa Rica. Ofr,NEW,CR,serper_search,2026-03-23 02:08
inforedcuido@pani.go.cr,Jardín de Niños Lulu,https://redcuidoinfantil.go.cr/centro/jardin-de-ninos-lulu/,educación,otro,Centro de cuidado y desarrollo infantil privado registrado en la Red de Cuido y Desarrollo Infantil ,NEW,CR,serper_search,2026-03-23 02:08
kinderlulu1986@hotmail.com,Jardín de Niños Lulu,https://redcuidoinfantil.go.cr/centro/jardin-de-ninos-lulu/,educación,otro,Centro de cuidado y desarrollo infantil privado registrado en la Red de Cuido y Desarrollo Infantil ,NEW,CR,serper_search,2026-03-23 02:08
direccion@villakidz.cr,Villa Kidz,https://www.villakidz.cr/,educación,pyme,Centro educativo especializado en la atención y formación de niños desde los 3 meses de edad. Utiliz,NEW,CR,serper_search,2026-03-23 02:08
info@villakidz.cr,Villa Kidz,https://www.villakidz.cr/,educación,pyme,Centro educativo especializado en la atención y formación de niños desde los 3 meses de edad. Utiliz,NEW,CR,serper_search,2026-03-23 02:07
admissions@stjude.ed.cr,St. Jude School,https://www.stjude.ed.cr/etapas-educativas/preescolar-costa-rica,educación,otro,Institución educativa costarricense que ofrece formación integral desde preescolar hasta bachillerat,NEW,CR,serper_search,2026-03-23 02:07
info@colegioadventista.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/?centros_educativos_sanjose=kinders-escuelas-colegios-privados-san-jose-centro,educación,otro,"Plataforma digital que funciona como directorio y portal de información sobre centros educativos, un",NEW,CR,serper_search,2026-03-23 02:07
admision@salesianodonbosco.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/?centros_educativos_sanjose=kinders-escuelas-colegios-privados-san-jose-centro,educación,otro,"Plataforma digital que funciona como directorio y portal de información sobre centros educativos, un",NEW,CR,serper_search,2026-03-23 02:07
humboldt@colegiohumboldt.cr,Actualidad Educativa,https://actualidadeducativa.com/?centros_educativos_sanjose=kinders-escuelas-colegios-privados-san-jose-centro,educación,otro,"Plataforma digital que funciona como directorio y portal de información sobre centros educativos, un",NEW,CR,serper_search,2026-03-23 02:07
lasalle@lasalle.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/?centros_educativos_sanjose=kinders-escuelas-colegios-privados-san-jose-centro,educación,otro,"Plataforma digital que funciona como directorio y portal de información sobre centros educativos, un",NEW,CR,serper_search,2026-03-23 02:07
info@colegiolosangeles.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/?centros_educativos_sanjose=kinders-escuelas-colegios-privados-san-jose-centro,educación,otro,"Plataforma digital que funciona como directorio y portal de información sobre centros educativos, un",NEW,CR,serper_search,2026-03-23 02:07
info@mundodacriancacr.com,Mundo da Criança,https://www.mundodacriancacr.com/contacto,educación,pyme,"Kinder Montessori ubicado en Santa Ana, Costa Rica. Ofrece educación preescolar basada en la metodol",NEW,CR,serper_search,2026-03-23 02:07
jn.puntarenas@mep.go.cr,Dirección Regional Educación Puntarenas,https://drep.go.cr/jardin-de-ninos-central-puntarenas-2/,educación,gobierno,Dirección regional del Ministerio de Educación Pública de Costa Rica encargada de administrar y coor,NEW,CR,serper_search,2026-03-23 02:07
correo@junta.mep.go.cr,Dirección Regional de Educación Alajuela (DREA),https://drea.mep.go.cr/circuito-06/jardin-de-ninos-cri-cri,educación,gobierno,Dirección regional del Ministerio de Educación Pública de Costa Rica responsable de administrar y co,NEW,CR,serper_search,2026-03-23 02:07
rocioalcocer@gmail.com,Dirección Regional de Educación Alajuela (DREA),https://drea.mep.go.cr/circuito-06/jardin-de-ninos-cri-cri,educación,gobierno,Dirección regional del Ministerio de Educación Pública de Costa Rica responsable de administrar y co,NEW,CR,serper_search,2026-03-23 02:07
info@kindermontessoricr.com,Kinder Niñas y Niños Montessori,https://www.kindermontessoricr.com/contacto/,educación,pyme,Centro educativo infantil que aplica el método Montessori para la educación y desarrollo de niñas y ,NEW,CR,serper_search,2026-03-23 02:07
avarela@actualidadeducativa.com,Actualidad Educativa,https://actualidadeducativa.com/nivel/kinder/,educación,otro,Plataforma digital que funciona como directorio y portal de información del sector educativo en Cost,NEW,CR,serper_search,2026-03-23 02:06
info@sys.ed.cr,Actualidad Educativa,https://actualidadeducativa.com/nivel/kinder/,educación,otro,Plataforma digital que funciona como directorio y portal de información del sector educativo en Cost,NEW,CR,serper_search,2026-03-23 02:06
info@252525.com,Actualidad Educativa,https://actualidadeducativa.com/nivel/kinder/,educación,otro,Plataforma digital que funciona como directorio y portal de información del sector educativo en Cost,NEW,CR,serper_search,2026-03-23 02:06
info@migranosito.com,Actualidad Educativa,https://actualidadeducativa.com/nivel/kinder/,educación,otro,Plataforma digital que funciona como directorio y portal de información del sector educativo en Cost,NEW,CR,serper_search,2026-03-23 02:06
info@actualidadeducativa.com,Actualidad Educativa,https://actualidadeducativa.com/nivel/kinder/,educación,otro,Plataforma digital que funciona como directorio y portal de información del sector educativo en Cost,NEW,CR,serper_search,2026-03-23 02:06
info@tpd.co.cr,TPD Laboratorio Dental,https://www.tpd.co.cr/,salud,pyme,"Laboratorio dental que ofrece servicios de prótesis fija, prótesis totales removibles y fijas, próte",NEW,CR,serper_search,2026-03-23 02:06
izqolaboratorio@gmail.com,IzqO Laboratorio Dental,https://www.izqolaboratoriodental.com/,salud,pyme,Laboratorio dental con más de 10 años de experiencia que ofrece servicios exclusivos para odontólogo,NEW,CR,serper_search,2026-03-23 02:05
info@oralartsdentalcr.com,Oral Arts Dental Laboratories,https://www.oralartsdentalcr.com/,salud,corporacion,Laboratorio dental con más de 50 años de experiencia que ofrece productos y servicios odontológicos ,NEW,CR,serper_search,2026-03-23 02:05
dentaltourism@ogcenter.cr,OG Health Center,https://ogcenter.cr/es/nosotros-laboratorio/,salud,corporacion,Centro de salud dental en Costa Rica que combina clínica y laboratorio dental. Ofrece servicios odon,NEW,CR,serper_search,2026-03-23 02:05
odomed@gmail.com,Odomed,http://www.clinicaodomed.com/ortodoncia-costa-rica.php,salud,pyme,Clínica dental especializada en servicios odontológicos integrales. Ofrece tratamientos como implant,NEW,CR,serper_search,2026-03-23 02:04
info@pediaclinic.cr,Clínica Pediátrica Pediaclinic,https://pediaclinic.cr/ortodoncia/,salud,corporacion,Clínica pediátrica especializada que ofrece múltiples especialidades médicas para la atención integr,NEW,CR,serper_search,2026-03-23 02:04
servicioalcliente@metropolitanocr.com,Clínica Pediátrica Pediaclinic,https://pediaclinic.cr/ortodoncia/,salud,corporacion,Clínica pediátrica especializada que ofrece múltiples especialidades médicas para la atención integr,NEW,CR,serper_search,2026-03-23 02:04
crdentalcliniclab@gmail.com,Costa Rica Dental Clinic Lab,https://dentalcliniclabcostarica.com/es/implantes-dentales-nuestraclinica/,salud,pyme,Clínica dental especializada en implantes dentales y tratamientos odontológicos. Ofrece servicios de,NEW,CR,serper_search,2026-03-23 02:04
crdentalwebteam@gmail.com,Costa Rica Dental Clinic Lab,https://dentalcliniclabcostarica.com/es/implantes-dentales-nuestraclinica/,salud,pyme,Clínica dental especializada en implantes dentales y tratamientos odontológicos. Ofrece servicios de,NEW,CR,serper_search,2026-03-23 02:04
info@costaricadentalteam.com,Costa Rica Dental Team,https://costaricadentalteam.com/es/implantes-dentales/,salud,pyme,"Clínica dental especializada en implantes dentales, restauración bucal y servicios odontológicos int",NEW,CR,serper_search,2026-03-23 02:03
carla.cob@hotmail.com,Zero Brackets,https://www.zerobrackets.com/contactenos/,salud,pyme,Zero Brackets es una empresa costarricense que distribuye y comercializa tecnología de alineación de,NEW,CR,serper_search,2026-03-23 02:02
drvainer@alphadental.co.cr,Zero Brackets,https://www.zerobrackets.com/contactenos/,salud,pyme,Zero Brackets es una empresa costarricense que distribuye y comercializa tecnología de alineación de,NEW,CR,serper_search,2026-03-23 02:02
heilyn.campos@hotmail.com,Zero Brackets,https://www.zerobrackets.com/contactenos/,salud,pyme,Zero Brackets es una empresa costarricense que distribuye y comercializa tecnología de alineación de,NEW,CR,serper_search,2026-03-23 02:02
dra.mruizv@gmail.com,Zero Brackets,https://www.zerobrackets.com/contactenos/,salud,pyme,Zero Brackets es una empresa costarricense que distribuye y comercializa tecnología de alineación de,NEW,CR,serper_search,2026-03-23 02:02
clinicadentalvaldes@gmail.com,Zero Brackets,https://www.zerobrackets.com/contactenos/,salud,pyme,Zero Brackets es una empresa costarricense que distribuye y comercializa tecnología de alineación de,NEW,CR,serper_search,2026-03-23 02:02
zea_rojas@hotmail.com,Zero Brackets,https://www.zerobrackets.com/contactenos/,salud,pyme,Zero Brackets es una empresa costarricense que distribuye y comercializa tecnología de alineación de,NEW,CR,serper_search,2026-03-23 02:02
rinapmr@yahoo.com,Zero Brackets,https://www.zerobrackets.com/contactenos/,salud,pyme,Zero Brackets es una empresa costarricense que distribuye y comercializa tecnología de alineación de,NEW,CR,serper_search,2026-03-23 02:02
marywattson89@gmail.com,Zero Brackets,https://www.zerobrackets.com/contactenos/,salud,pyme,Zero Brackets es una empresa costarricense que distribuye y comercializa tecnología de alineación de,NEW,CR,serper_search,2026-03-23 02:02
ovaresortodoncia@gmail.com,Zero Brackets,https://www.zerobrackets.com/contactenos/,salud,pyme,Zero Brackets es una empresa costarricense que distribuye y comercializa tecnología de alineación de,NEW,CR,serper_search,2026-03-23 02:02
info@topdentalcarecr.com,Zero Brackets,https://www.zerobrackets.com/contactenos/,salud,pyme,Zero Brackets es una empresa costarricense que distribuye y comercializa tecnología de alineación de,NEW,CR,serper_search,2026-03-23 02:02
ventas@zerobrackets.com,Zero Brackets,https://www.zerobrackets.com/contactenos/,salud,pyme,Zero Brackets es una empresa costarricense que distribuye y comercializa tecnología de alineación de,NEW,CR,serper_search,2026-03-23 02:02
dentalpediatria@gmail.com,Academia Costarricense de Odontología Pediátrica (ACOP),https://acopcr.org/miembros-p-%2F-r,salud,ong,Academia profesional costarricense dedicada a la odontología pediátrica. Agrupa a profesionales espe,NEW,CR,serper_search,2026-03-23 02:02
alejanrodcha@hotmail.com,Academia Costarricense de Odontología Pediátrica (ACOP),https://acopcr.org/miembros-p-%2F-r,salud,ong,Academia profesional costarricense dedicada a la odontología pediátrica. Agrupa a profesionales espe,NEW,CR,serper_search,2026-03-23 02:02
drariveraguillen@gmail.com,Academia Costarricense de Odontología Pediátrica (ACOP),https://acopcr.org/miembros-p-%2F-r,salud,ong,Academia profesional costarricense dedicada a la odontología pediátrica. Agrupa a profesionales espe,NEW,CR,serper_search,2026-03-23 02:02
dentalgabrielacastro@gmail.com,Academia Costarricense de Odontología Pediátrica (ACOP),https://acopcr.org/miembros-p-%2F-r,salud,ong,Academia profesional costarricense dedicada a la odontología pediátrica. Agrupa a profesionales espe,NEW,CR,serper_search,2026-03-23 02:02
smile@guanacastedental.com,Academia Costarricense de Odontología Pediátrica (ACOP),https://acopcr.org/miembros-p-%2F-r,salud,ong,Academia profesional costarricense dedicada a la odontología pediátrica. Agrupa a profesionales espe,NEW,CR,serper_search,2026-03-23 02:02
habitatcr.mi@gmail.com,Academia Costarricense de Odontología Pediátrica (ACOP),https://acopcr.org/miembros-p-%2F-r,salud,ong,Academia profesional costarricense dedicada a la odontología pediátrica. Agrupa a profesionales espe,NEW,CR,serper_search,2026-03-23 02:02
dentikidscr@gmail.com,Academia Costarricense de Odontología Pediátrica (ACOP),https://acopcr.org/miembros-p-%2F-r,salud,ong,Academia profesional costarricense dedicada a la odontología pediátrica. Agrupa a profesionales espe,NEW,CR,serper_search,2026-03-23 02:02
dr.luisdiperez@gmail.com,Academia Costarricense de Odontología Pediátrica (ACOP),https://acopcr.org/miembros-p-%2F-r,salud,ong,Academia profesional costarricense dedicada a la odontología pediátrica. Agrupa a profesionales espe,NEW,CR,serper_search,2026-03-23 02:02
filler@godaddy.com,Academia Costarricense de Odontología Pediátrica (ACOP),https://acopcr.org/miembros-p-%2F-r,salud,ong,Academia profesional costarricense dedicada a la odontología pediátrica. Agrupa a profesionales espe,NEW,CR,serper_search,2026-03-23 02:02
info@imagenesdentales.com,Imagenes Dentales,https://www.imagenesdentales.com/,salud,pyme,Empresa de servicios de diagnóstico dental que ofrece obtención y análisis de imágenes dentales. Cue,NEW,CR,serper_search,2026-03-23 02:02
orthoplaja@gmail.com,Encuentra Médicos,https://www.encuentramedicos.com/index.php/component/sppagebuilder/?view=page&id=76,salud,otro,Plataforma digital que conecta pacientes con médicos especialistas y clínicas en Costa Rica. Ofrece ,NEW,CR,serper_search,2026-03-23 02:01
info@nmdentalgroupcr.com,Encuentra Médicos,https://www.encuentramedicos.com/index.php/component/sppagebuilder/?view=page&id=76,salud,otro,Plataforma digital que conecta pacientes con médicos especialistas y clínicas en Costa Rica. Ofrece ,NEW,CR,serper_search,2026-03-23 02:01
daniela@omicostarica.com,Encuentra Médicos,https://www.encuentramedicos.com/index.php/component/sppagebuilder/?view=page&id=76,salud,otro,Plataforma digital que conecta pacientes con médicos especialistas y clínicas en Costa Rica. Ofrece ,NEW,CR,serper_search,2026-03-23 02:01
drcubero@yahoo.com,Encuentra Médicos,https://www.encuentramedicos.com/index.php/component/sppagebuilder/?view=page&id=76,salud,otro,Plataforma digital que conecta pacientes con médicos especialistas y clínicas en Costa Rica. Ofrece ,NEW,CR,serper_search,2026-03-23 02:01
arcodentalcr@gmail.com,Encuentra Médicos,https://www.encuentramedicos.com/index.php/component/sppagebuilder/?view=page&id=76,salud,otro,Plataforma digital que conecta pacientes con médicos especialistas y clínicas en Costa Rica. Ofrece ,NEW,CR,serper_search,2026-03-23 02:01
pacientes@amdentalcr.com,Encuentra Médicos,https://www.encuentramedicos.com/index.php/component/sppagebuilder/?view=page&id=76,salud,otro,Plataforma digital que conecta pacientes con médicos especialistas y clínicas en Costa Rica. Ofrece ,NEW,CR,serper_search,2026-03-23 02:01
dramonterosuca@hotmail.com,Encuentra Médicos,https://www.encuentramedicos.com/index.php/component/sppagebuilder/?view=page&id=76,salud,otro,Plataforma digital que conecta pacientes con médicos especialistas y clínicas en Costa Rica. Ofrece ,NEW,CR,serper_search,2026-03-23 02:01
drestiben@gmail.com,Encuentra Médicos,https://www.encuentramedicos.com/index.php/component/sppagebuilder/?view=page&id=76,salud,otro,Plataforma digital que conecta pacientes con médicos especialistas y clínicas en Costa Rica. Ofrece ,NEW,CR,serper_search,2026-03-23 02:01
clinicadentalpasoancho@gmail.com,Encuentra Médicos,https://www.encuentramedicos.com/index.php/component/sppagebuilder/?view=page&id=76,salud,otro,Plataforma digital que conecta pacientes con médicos especialistas y clínicas en Costa Rica. Ofrece ,NEW,CR,serper_search,2026-03-23 02:01
info@clinicacosdent.com,Encuentra Médicos,https://www.encuentramedicos.com/index.php/component/sppagebuilder/?view=page&id=76,salud,otro,Plataforma digital que conecta pacientes con médicos especialistas y clínicas en Costa Rica. Ofrece ,NEW,CR,serper_search,2026-03-23 02:01
moshemilgram@gmail.com,Encuentra Médicos,https://www.encuentramedicos.com/index.php/component/sppagebuilder/?view=page&id=76,salud,otro,Plataforma digital que conecta pacientes con médicos especialistas y clínicas en Costa Rica. Ofrece ,NEW,CR,serper_search,2026-03-23 02:01
gchavesdentista@yahoo.com,Encuentra Médicos,https://www.encuentramedicos.com/index.php/component/sppagebuilder/?view=page&id=76,salud,otro,Plataforma digital que conecta pacientes con médicos especialistas y clínicas en Costa Rica. Ofrece ,NEW,CR,serper_search,2026-03-23 02:01
cimadentalocampo@gmail.com,Encuentra Médicos,https://www.encuentramedicos.com/index.php/component/sppagebuilder/?view=page&id=76,salud,otro,Plataforma digital que conecta pacientes con médicos especialistas y clínicas en Costa Rica. Ofrece ,NEW,CR,serper_search,2026-03-23 02:01
info@encuentramedicos.com,Encuentra Médicos,https://www.encuentramedicos.com/index.php/component/sppagebuilder/?view=page&id=76,salud,otro,Plataforma digital que conecta pacientes con médicos especialistas y clínicas en Costa Rica. Ofrece ,NEW,CR,serper_search,2026-03-23 02:01
admin@artdentalcare.com,Art Dental Care,https://artdentalcare.com/es/inicio/,salud,pyme,"Clínica dental ubicada en San José, Costa Rica, que ofrece servicios odontológicos especializados. C",NEW,CR,serper_search,2026-03-23 02:01
info@basededatoscostarica.com,Base de Datos Costa Rica (RED MEDIA SOLUTIONS LLC),https://basededatoscostarica.com/product-tag/listado-de-odontologos-costa-rica/,tecnología,pyme,Empresa especializada en venta y gestión de bases de datos comerciales en Costa Rica. Ofrece directo,NEW,CR,serper_search,2026-03-23 02:00
info@ortodonciacostarica.org,Academia Costarricense de Ortodoncia,https://ortodonciacostarica.org/directorio-especialistas/,salud,otro,Academia profesional que agrupa a especialistas en ortodoncia en Costa Rica. Ofrece un directorio de,NEW,CR,serper_search,2026-03-23 02:00
odontovitalcr@gmail.com,Colegio de Cirujanos Dentistas de Costa Rica,https://directorio.colegiodentistas.org/es/search,salud,otro,Colegio profesional que mantiene un directorio en línea de cirujanos dentistas en Costa Rica. Permit,NEW,CR,serper_search,2026-03-23 02:00
banosinfo@colegiodentistas.org,Colegio de Cirujanos Dentistas de Costa Rica,https://www.colegiodentistas.org/listado-odontologos/,salud,otro,Colegio profesional que agrupa a cirujanos dentistas de Costa Rica. Ofrece servicios de registro y v,NEW,CR,serper_search,2026-03-23 01:59
info@oriscr.com,ORIS,https://oriscr.com/general/,salud,otro,"Clínica dental en San José, Costa Rica que ofrece tratamientos dentales integrales incluyendo implan",NEW,CR,serper_search,2026-03-23 01:59
info@dcdentalcr.com,DC Dental,https://dcdentalcr.com/,salud,pyme,"Clínica dental ubicada en Heredia, Costa Rica que ofrece servicios odontológicos especializados incl",NEW,CR,serper_search,2026-03-23 01:59
info@dentalavenuecr.com,Dental Avenue,https://dentalavenuecr.com/inicio/,salud,pyme,"Clínica dental ubicada en Escazú, Costa Rica, que ofrece servicios de odontología avanzada incluyend",NEW,CR,serper_search,2026-03-23 01:59
andrea@advancedentalcostarica.com,Advance Dental Costa Rica,https://www.advancedentalcostarica.com/es/,salud,pyme,"Clínica dental que ofrece servicios odontológicos integrales incluyendo implantes, coronas, blanquea",NEW,CR,serper_search,2026-03-23 01:59
info@advancedentalcostarica.com,Advance Dental Costa Rica,https://www.advancedentalcostarica.com/es/,salud,pyme,"Clínica dental que ofrece servicios odontológicos integrales incluyendo implantes, coronas, blanquea",NEW,CR,serper_search,2026-03-23 01:59
info@arcodental.com,Arco Dental,https://arcodental.com/,salud,pyme,"Centro de Especialidades Odontológicas ubicado en Guadalupe, Costa Rica. Ofrece servicios dentales e",NEW,CR,serper_search,2026-03-23 01:58
info@dentalcostarica.cr,Dental Costa Rica,https://www.dentalcostarica.cr/es/,salud,pyme,"Clínica dental que ofrece servicios de odontología general, cosmética y cirugía facial. Incluye trat",NEW,CR,serper_search,2026-03-23 01:58
info@sonrisaparatodos.com,Centro Odontológico Integral Sonrisa Para Todos,https://www.sonrisaparatodos.com/contactenos/,salud,pyme,"Centro odontológico integral que ofrece servicios de implantes dentales, odontología restaurativa y ",NEW,CR,serper_search,2026-03-23 01:58
reservas@haciendalachimba.com,ASEFEMSA,https://www.asefemsa.com/,finanzas,solidarista,ASEFEMSA es una organización solidarista costarricense que ofrece servicios financieros y de bienest,NEW,CR,serper_search,2026-03-22 16:17
gerenciamontecampana@gmail.com,ASEFEMSA,https://www.asefemsa.com/,finanzas,solidarista,ASEFEMSA es una organización solidarista costarricense que ofrece servicios financieros y de bienest,NEW,CR,serper_search,2026-03-22 16:17
rmonge@ulacit.ac.cr,ASEFEMSA,https://www.asefemsa.com/,finanzas,solidarista,ASEFEMSA es una asociación solidarista que ofrece servicios financieros y de bienestar a sus miembro,NEW,CR,serper_search,2026-03-22 16:17
